Context,Answer 
Can disposable medical face masks be sterilized and reused?,"No. Disposable medical face masks are intended for a single use only. After use they should be removed using appropriate techniques (i.e. do no touch the front, remove by pulling the elastic ear straps or laces from behind) and disposed of immediately
    in an infectious waste bin with a lid, followed by hand hygiene.Click here for more information on using masks in the context of the nCoV outbreak."
Why does WHO recommend contact and droplet precautions and not routine use of airborne precautions for healthcare workers providing care to patients with suspected/confirmed 2019-nCoV infection?,"WHO developed its rapid guidance based on the consensus of international experts who considered the currently available evidence on the modes of transmission of 2019-nCoV. This evidence demonstrates viral transmission by droplets and contact with contaminated
    surfaces of equipment; it does not support routine airborne transmission. Airborne transmission may happen, as has been shown with other viral respiratory diseases, during aerosol-generating procedures (e.g., tracheal intubation, bronchoscopy), thus
    WHO recommends airborne precautions for these procedures. Click here for more information about healthcare worker protection for 2019-nCoV."
Does WHO recommend routine wearing masks for healthy people during the 2019 nCoV outbreak?,"No. WHO does not recommend that asymptomatic individuals (i.e., who do not have respiratory symptoms) in the community should wear medical masks, as currently there is no evidence that routine use of medical masks by healthy individuals prevents 2019-nCoV
    transmission. Masks are recommended to be used by symptomatic persons in the community. Misuse and overuse of medical masks may cause serious issues of shortage of stocks and lack of mask availability for those who actually need to wear them. In health care facilities where health care workers are directly taking care of suspect or confirmed 2019-nCoV acute respiratory disease patients, masks are an important part of containing 2019-nCoV spread between people, along with other PPE and hand
    hygiene.Click here for more information on medical mask use."
Can patients with suspected and confirmed nCoV infection be cohorted in the same room?,"Ideally, suspected and confirmed 2019-nCoV acute respiratory disease patients should be isolated in single rooms. However, when this is not feasible (e.g., limited number of single rooms), cohorting is an acceptable option. Some patients with suspected 2019-nCoV infection may actually have other respiratory illnesses, hence they must be cohorted separately from patients with confirmed 2019-nCoV infection. A minimum of 1-meter distance between beds should be maintained at all times."
Do patients with suspected or confirmed 2019-nCoV need to be hospitalized if they have mild illness?,"No. For patients who have mild illness, e.g., low-grade fever, cough, malaise, rhinorrhoea, sore throat without any warning signs, such as shortness of breath or difficulty in breathing, increased respiratory (i.e. sputum or haemoptysis), gastro-intestinal
    symptoms such as nausea, vomiting, and/or diarrhoea and without changes in mental status, hospitalization may not be required unless there is concern for rapid clinical deterioration. All patients discharged home should be instructed to return to
    hospital if they develop any worsening of illness.Click here for more information on admission criteria.Click here for more information on caring for mildly symptomatic 2019-nCoV patients at home."
Are specialized or referral hospitals required for patients with suspected or confirmed 2019-nCoV infection when hospitalization is needed?,"No. Current WHO recommendations do not include a requirement for exclusive use of specialized or referral hospitals to treat suspected or confirmed 2019-nCoV acute respiratory disease patients. However, countries or local jurisdictions may choose to care for patients at such hospitals if those are deemed the most likely to be able to safely care for patients with suspected or confirmed 2019-nCoV infection or for other clinical reasons (e.g., availability of advanced life support). Regardless, any healthcare facility treating patients with suspected or confirmed 2019-nCoV patients should adhere to the WHO infection prevention and control recommendations for healthcare to protect patients, staff and visitors. Click here for the guidance."
What are the disinfectants recommended for environmental cleaning in healthcare facilities or homes housing patients with suspected or confirmed 2019-nCoV infection?,"Environmental cleaning in healthcare facilities or homes housing patients with suspected or confirmed 2019-nCoV infection should use disinfectants that are active against enveloped viruses, such as 2019-nCoV and other coronaviruses. There are many disinfectants,
    including commonly used hospital disinfectants, that are active against enveloped viruses. Currently WHO recommendations include the use of:70% Ethyl alcohol to disinfect reusable dedicated equipment (e.g., thermometers) between usesSodium hypochlorite at 0.5% (equivalent 5000ppm) for disinfection of frequently touched surfaces in homes or healthcare facilitiesClick here for the guidance on clinical management of severe acute
    respiratory infection when novel coronavirus (nCoV) infection is suspected.Click here  for the guidance on infection prevention and control during health care when novel coronavirus (nCoV) infection is suspected.Click here for more information about environmental cleaning."
How long the 2019-nCoV can survive on a dry surface?,"There is currently no data available on stability of 2019-nCoV on surfaces.  Data from laboratory studies on SARS-CoV and MERS-CoV have shown that stability in the environment depends on several factors including relative temperature, humidity, and surface type. WHO continues to monitor existing evidence around nCoV and will update when such evidence is available."
Is there a special procedure regarding waste produced by patients with suspected or confirmed 2019-nCoV?,No. Waste produced during the health care or home care of patients with suspected or confirmed 2019-nCoV infection should be disposed of as infectious waste.Click here for more information on disposing of infectious waste.Click here to visit the CDC website.
Are there special procedures for the management of bodies of persons who have died from 2019-nCoV?,"No, there are no special procedures for the management of bodies of persons who have died from 2019-nCoV. Authorities and medical facilities should proceed with their existing policies and regulations that guide post-mortem management of persons who died from infectious diseases."
Is there a model for setting up an isolation ward and types and products and health requirements?,A model for setting up an isolation ward is currently under development. PPE specifications for healthcare workers caring for nCoV patients can be found  in the disease commodity package at: https://www.who.int/publications-detail/disease-commodity-package---novel-coronavirus-(ncov)
Can chlorine solutions also be used?,"Chlorine solutions are strongly discouraged as they carry a higher risk of hand irritation and ill health effects from making and diluting chlorine solutions, including eye irritation and respiratory problems. In addition, there is a risk of loss of antimicrobial effect if exposed to sunlight or heat.  Preparing chlorine solutions requires training to reach the correct dose of 0.05% with varying strengths of bleach available in the private sector.  Even if stored at a cool dry place with a lid away from sunlight, they have to be renewed daily.  In comparison simple soapy water solution do not have any of the above-mentioned health risks and complications including loss of antiviral effect due to heat or sunlight.  The antiviral effect of soapy water is due to the oily surface membrane of the COVID-virus that is dissolved by soap, killing the virus."
How many malaria-affected countries have reported cases of COVID-19?,"Malaria-endemic countries in all WHO have regions have reported cases of COVID-19. In the WHO African Region, which carries more than 90% of the global malaria burden, there have been more than 1 million confirmed cases of COVID-19 since the beginning of the pandemic. The latest situation reports on the COVID-19 pandemic are available on the WHO website."
Should core malaria vector control interventions be maintained in view of the rapid global spread of COVID-19?,"As of March 2020, there have been reports of the suspension of insecticide-treated net (ITN) and indoor residual spraying (IRS) campaigns in several African countries due to concerns around exposure to COVID-19. Suspending such campaigns will leave many vulnerable populations at greater risk of malaria, particularly young children and pregnant women. WHO strongly encourages countries not to suspend the planning for – or implementation of – vector control activities, including ITN and IRS campaigns, while ensuring these services are delivered using best practices to protect health workers and communities from COVID-19 infection. Modifications of planned distribution strategies may be needed to minimize exposure to the coronavirus. WHO commends the leaders of Benin, Chad, the Central African Republic, the Democratic Republic of the Congo, Mali, Niger, Sierra Leone and Uganda for committing to move forward with ITN campaigns during the pandemic. Other countries are adapting their net distribution strategies to ensure households receive the nets as quickly and safely as possible.Together with partners, WHO has developed guidance to ensure that those suffering from malaria can safely receive the care they need in COVID-19 settings. Tailoring malaria interventions in the COVID-19 responseincludes guidance on the prevention of infection through vector control and chemoprevention, testing, treatment of cases, clinical services, supply chain and laboratory activities. The document is consistent with broader WHO guidance on how to maintain essential health services during the pandemic."
Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?,"Yes, delivery of intermittent preventive treatment in pregnancy (IPTp), seasonal malaria chemoprevention (SMC), and intermittent preventive treatment in infants (IPTi) should be maintained provided that best practices for protecting health workers – and other front-line workers – from COVID-19 are followed. Ensuring access to these and other core malaria prevention tools saves lives and is an important strategy for reducing the strain on health systems in the context of the COVID-19 response.Tailoring malaria interventions in the COVID-19 response, developed by WHO and partners, includes guidance on how to deliver preventive therapies for pregnant women and young children in ways that protect health workers and communities against potential COVID-19 transmission."
Are there any changes to WHO guidance with respect to malaria diagnosis and treatment?,"WHO guidance remains the same. Countries should not scale back efforts to detect and treat malaria; doing so would seriously undermine the health and well-being of millions of people infected with a potentially life-threatening disease.As signs and symptoms of malaria and COVID-19 can overlap (such as a fever), public health messages will need to be adapted in malaria-endemic settings so that people who have a fever are encouraged to seek immediate treatment rather than stay at home; without prompt treatment, a mild case of malaria can rapidly progress to severe illness and death."
What additional special measures may be needed in the context of COVID-19?,"In addition to routine approaches to malaria control, there may be a case for special measures in the context of the COVID-19 pandemic – such as a temporary return to presumptive malaria treatment, or the use of mass drug administration – which have proved useful in some previous emergencies. Presumptive malaria treatment refers to treatment of a suspected malaria case without the benefit of diagnostic confirmation (e.g. through a rapid diagnostic test). This approach is typically reserved for extreme circumstances, such as disease in settings where prompt diagnosis is no longer possible.Mass drug administration (MDA) is a WHO-recommended approach for rapidly reducing malaria mortality and morbidity during epidemics and in complex emergency settings. Through MDA, all individuals in a targeted population are given antimalarial medicines – often at repeated intervals – regardless of whether or not they show symptoms of the disease. Such special measures should only be adopted after careful consideration of 2 key aims: lowering malaria-related mortality and keeping health workers and communities safe. WHO is exploring concrete proposals for when and how to activate such measures; guidance will be published in due course."
What are the key considerations for countries that are working to eliminate malaria or prevent re-establishment of transmission?,"All of the considerations described above apply to malaria-eliminating countries and those preventing re-establishment of the disease: efforts must be sustained to prevent, detect and treat malaria cases while preventing the spread of COVID-19 and ensuring the safety of those who deliver the services. Countries that are nearing malaria elimination must protect their important gains and avoid malaria resurgences. Countries that have eliminated malaria must remain vigilant for any imported cases of malaria that may be occurring to prevent reintroduction of the disease."
Why is WHO particularly concerned about the spread of COVID-19 in malaria-affected areas?,"Experience from previous disease outbreaks has shown the disruptive effect on health service delivery and the consequences for diseases such as malaria. The 2014-2016 Ebola outbreak in Guinea, Liberia and Sierra Leone, for example, undermined malaria control efforts and led to a massive increase in malaria-related illness and death in the 3 countries.A modelling analysis from WHO and partners, published on 23 April, found that the number of malaria deaths in sub-Saharan Africa could double this year alone if there are severe disruptions in access to insecticide-treated nets and antimalarial medicines due to COVID-19. These projections reinforce the critical importance of sustaining efforts to prevent, detect and treat malaria during the pandemic.In all regions, protective measures should be utilized to minimize the risk of COVID-19 transmission between patients, communities and health providers. WHO and partners have developed guidance on how to safely maintain malaria prevention and treatment services in COVID-19 settings."
Have there been disruptions in the global supply of key malaria-related commodities as a result of the COVID-19 pandemic?,"Yes. Since the early days of the pandemic, there have been reports of disruptions in the supply chains of essential malaria commodities – such as long-lasting insecticidal nets, rapid diagnostic tests and antimalarial medicines – resulting from lockdowns and from a suspension of the importation and exportation of goods in response to COVID-19. WHO and partners are working together to ensure the availability of key malaria control tools, particularly in countries with a high burden of the disease, and that efforts to limit the spread of COVID-19 do not compromise access to malaria prevention, diagnosis and treatment services."
What is WHO’s position on the use of chloroquine and hydroxychloroquine in the context of the COVID-19 response?,"WHO is actively following the ongoing clinical trials that are being conducted in response to COVID-19, including the more than 80 studies looking at the use of chloroquine and its derivative, hydroxychloroquine, for treatment and/or prevention. To date, 3 large randomized controlled trials, including the WHO Solidarity trial, have failed to show that the use of hydroxychloroquine among hospitalized patients infected with COVID-19 can prevent death or disease progression. Additionally, 3 trials of patients with mild or moderate disease failed to show a significant benefit in prevention of respiratory failure through the use of hydroxychloroquine. Thus, there is now growing evidence that hydroxychloroquine is not an effective treatment for COVID-19. This evidence will inform the next update of WHO guidance on therapeutics. Studies on the use of chloroquine or hydroxychloroquine to prevent individuals, particularly those at high risk such as health care workers, from contracting COVID-19 are ongoing. Currently, there is insufficient evidence to assess the protective efficacy of either of these medicines for the prevention of COVID-19 infection or disease. WHO cautions physicians against administering these unproven treatments to patients with COVID-19 outside the context of a clinical trial. Individuals are also advised against self-medicating with these drugs.For public health emergencies, WHO has a systematic and transparent process for research and development (R&D), including for clinical trials of drugs. The WHO “R&D Blueprint” for COVID-19, initiated on 7 January 2020, aims to fast-track the availability of effective tests, vaccines and medicines that can be used to save lives and avert large-scale crises."
What is WHO’s position on the use of Artemisia plant material for the prevention or treatment of malaria and/or COVID-19?,"The most widely used antimalarial treatments, artemisinin-based combination therapies (ACTs), are produced using the pure artemisinin compound extracted from the plant Artemisia annua. There have been reports that products or extracts (e.g. herbal teas or tablets) made from Artemisia plant material may have a preventive or curative effect on COVID-19. However, available in vitro data suggests that purified artemisinin compounds or A. annua plant product or extracts do not have an appreciable effect against COVID-19 at concentrations that could be safely achieved in humans. As such, current evidence does not support the use of artemisinins or A. annua products or extracts as an antiviral for COVID-19. WHO urges extreme caution over reports touting the efficacy of such products. As explained in a WHO position statement, there is no scientific evidence base to support the use of non-pharmaceutical forms of Artemisia for the prevention or treatment of malaria. There is also no evidence to suggest that COVID-19 can be prevented or treated with products made from Artemisia-based plant material."
What is WHO doing to support malaria-affected countries in the context of COVID-19?,"The WHO Global Malaria Programme is leading a cross-partner effort to mitigate the negative impact of the coronavirus in malaria-affected countries and, where possible, contribute towards a successful COVID-19 response. The work is being carried out in close collaboration with colleagues based at WHO headquarters, regional offices and country level.In March 2020, before the pandemic had secured a strong footing in Africa, WHO sounded an urgent call for maintaining core malaria prevention and treatment services while protecting health workers and communities against COVID-19 transmission. The findings of a modelling analysis from WHO and partners, published in April, reinforced the WHO call for continuity of malaria services during then pandemic.In collaboration with partners, WHO developed technical guidance for countries on how to safely maintain malaria prevention and treatment in COVID-19 settings. Tailoring malaria interventions in the COVID-19 response is consistent with broader WHO guidance on how to maintain essential health services during the pandemic."
Why should people wear masks?,"Masks are a key measure to suppress transmission and save lives. Masks reduce potential exposure risk from an infected person whether they have symptoms or not. People wearing masks are protected from getting infected. Masks also prevent onward transmission when worn by a person who is infected.
Masks should be used as part of a comprehensive ‘Do it all!’ approach including: physical distancing, avoiding crowded, closed and close-contact settings, improving ventilation, cleaning hands, covering sneezes and coughs, and more. 
Find out more on our main public advice page"
Who should wear what kind of mask?,"Medical masks are recommended for the following groups:

All health workers in clinical settings. See our guidance for more information on the use of personal protective equipment by health care workers.
Anyone who is feeling unwell, including people with mild symptoms, such as muscle aches, slight cough, sore throat or fatigue. 
People caring for suspected or confirmed cases of COVID-19 outside of health facilities.

When they cannot guarantee a distance of at least 1 metre from others, medical masks are also recommended for the following groups, as they are at a higher risk of becoming seriously ill with COVID-19 and dying:

People aged 60 or over.
People of any age with underlying health conditions, including: chronic respiratory disease, cardiovascular disease, cancer, obesity, immunocompromised patients and diabetes mellitus. 

Non-medical, fabric masks are advised for use by the general public when physical distancing cannot be maintained, as part of a comprehensive ‘Do it all!’ approach, including improving ventilation; cleaning hands; covering sneezes and coughs, and more.
Find out more on our main public advice page.
Further resources: 

Read our Q&A on children and masks related to COVID-19 for more information on precautions for younger age groups. 
Watch our animation on medical and fabric masks, explaining who wears what, when and where."
When should masks be worn by the general public?,"Within wider environments where the virus is spreading, masks should be worn by the general public in settings where it is not possible to maintain at least 1 meter from others. Examples of these settings include indoor locations that are crowded and have poor ventilation, public transport and places of high population density – among others.
In enclosed settings, especially where there is poor ventilation, it is also very important to increase the rate of air change, reduce recirculation of air and increase the use of outdoor air. WHO has published Q&As on ventilation and air conditioning for both the general public and people who manage public spaces and buildings."
How should I wear and clean a fabric mask?,"How to put on and wear a fabric mask:

Before touching the mask, clean your hands with an alcohol-based hand rub or soap and water. 
Inspect the mask for tears or holes, do not use a mask that is damaged. 
Adjust the mask to cover your mouth, nose, and chin, leaving no gaps on the sides. Place the straps behind the head or ears.
Avoid touching the mask while wearing it. If you accidentally touch it, clean your hands. 
Change your mask if it gets dirty or wet.

How to take off and store a fabric mask: 

Clean your hands before taking off the mask.
Take off the mask by removing it from the ear loops, without touching the front of the mask.
If your fabric mask is not dirty or wet and you plan to reuse it, put it in a clean plastic, resealable bag. If you need to use it again, hold the mask at the elastic loops when removing it from the bag. Clean your mask once a day.
Clean your hands after removing the mask. 

How to clean a fabric mask:

Wash fabric masks in soap or detergent and preferably hot water (at least 60 degrees Centigrade/140 degrees Fahrenheit) at least once a day.
If it is not possible to wash the masks in hot water, then: 

Wash the mask in soap/detergent and room temperature water, followed by either boiling the mask for 1 minute, OR; 
Soak the mask in 0.1% chlorine for 1 minute and thoroughly rinsing the mask with room temperature water (there should not be any toxic residue of chlorine on the mask).


General tips:

Make sure you have your own masks and do not share it with others.
Resist the temptation to pull down your mask or take if off when speaking to other people.
Do not store your mask around your arm or wrist or pull it down to rest around your chin or neck. Instead store it in a clean plastic bag. 

Watch our ‘How to wear a fabric mask’ video for a demonstration."
"How should I put on, wear and take off a medical mask?","How to put on and take off a medical mask:

Before touching the mask, clean your hands with an alcohol-based hand rub or soap and water.  
Inspect the mask for tears or holes; do not use a mask that has previously been worn or is damaged. 
Verify which side is the top – this is usually where the metal strip is. 
Then, identify the inside of the mask, which is usually the white side. 
Place the mask on your face covering your nose, mouth and chin, making sure that there are no gaps between your face and the mask. Place the straps behind the head or ears.
Pinch the metal strip so it moulds to the shape of your nose.
Remember, do not touch the front of the mask while using it to avoid contamination; if you accidentally touch it, clean your hands.  

How to take off a medical mask:

Before touching the mask, clean your hands with an alcohol-based hand rub or soap and water. 
Remove the straps from behind the head or ears, without touching the front of the mask. 
As you remove the mask, lean forward and pull the mask away from your face.   
Medical masks are for single use only; discard the mask immediately, preferably into a closed bin. 
Clean your hands after touching the mask.
Be aware of the condition of the mask; replace it if it gets soiled or damp."
How should I make my own fabric mask?,"Fabric masks should be secured with elastic loops or ties, include multiple layers, be washable and reusable.
They should ideally be made of three layers of fabric. Inner layer of absorbent material, such as cotton.Middle layer of non-woven non-absorbent material, such as polypropylene.Outer layer of non-absorbent material, such as polyester or polyester blend.Watch our ‘WHO’s recommended fabric mask materials and composition’ video for more information."
"What is the difference between medical masks and respirators, like N95s?","Medical masks (also known as surgical masks)Composition: Made of three layers of synthetic nonwoven materialsConfigured to have filtration layers sandwiched in the middle. Available in different thicknesses.Have various levels of fluid-resistance and filtration. Respirators (also known as filtering facepiece respirators - FFP) are available at different performance levels such as FFP2, FFP3, N95, N99Respirator masks are designed to protect healthcare workers who provide care to COVID-19 patients in settings and areas where aerosol generating procedures are undertaken. Healthcare workers should be fit tested before using a respirator to ensure that they are wearing the correct size."
Does WHO recommend the use of masks with exhalation valves to prevent transmission of COVID-19?,"No, WHO does not recommend the use of masks with exhalation valves. These masks are intended for industrial workers to prevent dust and particles from being breathed in as the valve closes on inhale. However, the valve opens on exhale making it easier to breathe but also allowing any virus to funnel through the valve opening, making the mask ineffective at preventing the spread of COVID-19."
Does WHO recommend the use of gloves in the community to prevent transmission of COVID-19?,"No, WHO does not recommend the general use of gloves by people in the community. Instead, in public places, such as supermarkets or public/private buildings, WHO recommends the installation of public hand hygiene stations at the entrance and exit, so people can easily clean their hands. 
By widely improving hand hygiene practices, countries can help prevent the spread of the COVID-19 virus and other infections."
Why and where health workers should wear medical masks in the context of COVID-19?,"Health workers are the most likely to be exposed to COVID-19 because they are in close contact with patients with suspected, probable or confirmed COVID-19.Where COVID-19 is spreading, health workers and caregivers should wear a medical mask in all clinical areas of any medical facility. Masks should be worn throughout their shifts, apart from when eating, drinking or needing to change the mask for specific reasons: Health workers and caregivers include: doctors, nurses, midwives, medical attendants, cleaners, community health workers, and any others working in clinical areas.Clinical areas of particular importance are: screening/triage and emergency rooms, family physician/GP practices, outpatient departments, COVID-19 dedicated units, obstetrics, haematological, cancer and transplant units, long-term health, community care facilities and residential facilities. This means that in areas where there are patients – any patients – WHO recommends that workers in the health facility wear a medical mask, even if physical distancing can be maintained.Respirator masks are recommended for use where aerosol generating procedures are in place for a suspect/confirmed COVID-19 patient. In these settings, WHO recommends the use of airborne and contact precautions. As there are reports of health workers being infected with COVID-19 outside of health facilities, it is critical that health workers, as all people, follow the guidance to protect themselves from infection when outside of a health facility. Further resources: Healthcare workers can complete our OpenWHO course on how to put on and remove personal protective equipment.Read our guidance on ‘Infection prevention and control during health care when coronavirus disease (‎COVID-19)‎ is suspected or confirmed’. WHO first issued interim guidance on recommended practices for health workers caring for suspected or confirmed COVID-19 patients in January 2020, which included following droplet/contact precautions: surgical gown, gloves, medical mask, and eye protection"
How large does a meeting or event need to be in order to be a “mass gathering”?,"High profile international sporting events such as the Olympics or World Cups as well as international religious events such as the Hajj count as mass gatherings. However, lower profile conferences and events can also meet WHO’s definition of a mass gathering. An event counts as a “mass gatherings” if the number of people it brings together is so large that it has the potential to strain the planning and response resources of the health system in the community where it takes place. You need to consider the location and duration of the event as well as the number of participants. For example, if the event takes place over several days in a small island state where the capacity of the health system is quite limited then even an event with just a few thousand participants could place a big strain on the health system and then be considered a “mass gathering” event. Conversely, if the event is held in a big city in a country with a large, well-resourced health system and lasts just a few hours, the event may not constitute a “mass gathering” event."
Does WHO recommend that all international mass gatherings be cancelled because of COVID-19?,"No. As each international mass gathering is different, the factors to consider when determining if the event should be cancelled may also differ. Any decision to change a planned international gathering should be based on a careful assessment of the risks and how they can be managed, and the level of event planning. The assessment should involve all stakeholders in the event, and in particular the health authorities in the country or community where the event is due to take place. These authorities and stakeholders are in the best position to assess the level of stress the event might place on the local health system and emergency services – and whether this level of stress is acceptable in the current situation. It is WHO’s view that all countries with community transmission should seriously consider postponing or reducing mass gatherings that bring people together and have the potential to amplify disease and support the recommended best practice of physical distancing. Any decision will be supported through the use of WHO tools, in particular the Risk Assessment for Mass Gatherings during COVID-19. If movement restrictions and further national measures have been established in the country, the WHO RA does not apply. However, when the process of re-opening/conducting mass gatherings is being considered post movement restrictions, it will be key to ensure any decisions are based on a risk assessment, such as the WHO Mass gatherings COVID-19 risk assessment."
What factors should organizers and health authorities look at when assessing whether the risks are acceptable or not?,"For countries not currently known to be experiencing community transmission of COVID-19, the priority consideration will be whether the planned mass gathering event substantially increases the risk of the virus entering the country and becoming established, as well as the risk for participants to importing infection back to their home country and further increasing global spread. In making this assessment, the organizers and their national or local health authorities should recognize that the risk of imported cases of COVID-19 is naturally linked to international travel. They should also recognize that it is neither realistic or desirable to aim for zero risk. When organizers and health authorities are determining whether to hold a mass gathering, they should determine what is an acceptable risk and what additional measures should be implemented to mitigate the risks.For countries where COVID-19 has already started to spread in the community, key consideration will be: aiming at containing or at least slowing down the spread of the virus in the local community/country.preventing participants from other countries being infected with COVID-19  In each case the risk should be considered in the context of the known features of COVID-19, its severity, its transmissibility and the effectiveness of measures to prevent or reduce transmission. The strain already placed on the local health system in responding to COVID-19 outbreak(s), and the additional strain the mass gathering might place on the system also need to be taken into account.You can find more advice on what to look at in the WHO document Key planning recommendations for Mass Gatherings in the context of the current COVID-19 outbreak of 14 February 2020. See: https://www.who.int/publications-detail/key-planning-recommendations-for-mass-gatherings-in-the-context-of-the-current-covid-19-outbreak"
What if my organization does not have the expertise to assess the risks COVID-19 poses for our planned mass gathering?,The national and local public health authorities in the country where you plan to hold the mass gathering will most likely know how to conduct a health risk assessment. If there is a WHO Country Office there they may also be able to provide some expert support. So too might the WHO Regional Office in your part of the world. You can find the names and contact details of the WHO Regional Offices at https://www.who.int/about/who-we-are/regional-offices
"If we go ahead with an international mass gathering, what can we do to reduce the risk of participants catching COVID-19?","Promote hand washing, respiratory hygiene and social distancing at the event. Make sure you have emergency contact details for all participants, including where they are staying during the event. You should make it clear to them that this information will be shared with the local public health authorities to enable rapid contact tracing if a participant at the event becomes ill with COVID-19. The event organisers need to have an agreed preparedness plan in case one or more participants become ill with COVID-19 symptoms. This should include rapid isolation of the ill person and their safe transfer to a local health facility. You should consider whether the number of participants at the event could be reduced, making available participation by video or teleconference and possibly screening participants for COVID-19 symptoms (cough, fever, malaise) at points of entry to the venue. You can find advice on how individual participants can protect themselves and their loved ones from COVID-19 at: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
Where can I find more advice on assessing and managing health risks around international mass gatherings?,"WHO has produced guidance and also a training course on how to plan for a mass gathering. The guidance and the course both look at how to conduct a risk assessment, plan for and manage health risks in partnership with the local authorities: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/technical-guidance/points-of-entry-and-mass-gatherings  You can find advice to give individual participants on how to protect themselves and their loved ones from COVID-19 at: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
What should be the criteria for excluding an athlete or other accredited participant from competing?,"Agreed health criteria are needed for the exclusion of athletes from competing and for allowing them to return to competition wherever appropriate. These should be consistent with public health guidelines for the general population, with risk profiles based on recent travel to high-risk community transmission zones, recent contact with individuals diagnosed with or suspected of having COVID-19, current symptomatology, etc. Athletes who are feeling unwell should not participate in events.If testing of athletes has been agreed with the local public health service there is a need to consider test availability, time taken for receipt of test results and host-country health services capacity. Criteria for exclusion of officials/judges from competition and for allowing them to return to competition where appropriate should follow guidance and criteria for the workplace.Requirements for the attendance of all athletes and other accredited participants should be put in place:–   health check: travel declaration and temperature screening–   contact tracing protocols ready (with all details of those present) –   allowing extra spacing (physical distancing)–   following all hygiene precautions.  Isolation procedures for athletes and other accredited participants (e.g. field-of-play staff, medical teams, officials who have close contact with the athletes) who feel unwell or become symptomatic should be clear and documented and rehearsed prior to holding the event, especially for higher risk sports, e.g. contact sports."
Should event organizers arrange screening at venues beyond national government requirements for point of entry (PoE)?,"Temperature screening alone, at exit or entry, is not an effective way to stop international spread, since infected individuals may be in incubation period, may not express apparent symptoms early on in the course of the disease, or may dissimulate fever through the use of antipyretics; in addition, such measures require substantial investments for what may bear little benefits. It is more effective to provide prevention recommendation messages to travellers and to collect health declarations at arrival, with travellers’ contact details, to allow for a proper risk assessment and a possible contact tracing of incoming travellers. Event organizers should also consider the capacity to undertake this and the management of suspected cases. However, sporting organizations may have criteria for participation that are stricter than government requirements for Ports of Entry into the country that are based on event risk assessment, including organizers' healthcare capacity.Any additional screening questionnaires for participation in events need to be aligned with public health agencies in the jurisdiction. There is a need to consider how to manage different groups – athletes, officials and spectators, and the large numbers of individuals likely to arrive at a sporting event from many oversea countries – and to follow both host country and WHO travel advice and to assess whether there is difficulty in obtaining accurate information about the travel history of those individuals."
Should event organizers provide COVID-19 testing?,"No, testing should be conducted in accordance with local health providers and national guidance.  Anyone unwell or symptomatic should not be allowed to participate in the event. Establish close collaboration with local public health authorities well before the event, to facilitate testing for athletes, officials or spectators who meet pre-agreed suspect cases definitions. Consider host-country health service capacity to manage any COVID-19 activity, and other public health issues happening at the event over and above its own national pandemic response."
Are there additional safeguards event organizers can implement or recommend to athletes/officials/visitors in the context of COVID-19?,"Follow standard preventative advice to the general public, including physical distancing, in the athletes’ village.Also promote:signage, digital messaging to all participants and their entourages about COVID-19 and how to prevent infectionregular disinfection and cleaning of surfaces, in venues and in personal spaces non-sharing of equipment and cleaning of equipment after each user.Organizers are recommended to develop a checklist (include hand gels stations, hygiene facilities, etc.). See the event mitigation recommendations checklist for event organizers above."
What are the risks arising from public transport to the venue(s)?,The extra risk from participants and spectators travelling on public transport in a major city may not be significant compared to the ongoing risk to the local population using the transport all the time if physical distancing is not possible on public transport.
Are pregnant women at higher risk from COVID-19?,"Pregnant women or recently pregnant women who are  older, overweight, and have pre-existing medical conditions such as hypertension and diabetes seem to have an increased  risk of developing severe COVID-19. When pregnant women develop severe disease, they also seem to more often require care in intensive care units than non-pregnant women of reproductive age.Due to changes in their bodies and immune systems, we know that pregnant women can be badly affected by some respiratory infections. It is therefore important that they take precautions to protect themselves against COVID-19, and report possible symptoms (including fever, cough or difficulty in breathing) to their healthcare provider.WHO will continue to review and update its information and advice as more evidence becomes available."
I’m pregnant. How can I protect myself against COVID-19?,"Pregnant women should take the same precautions to avoid COVID-19 infection as other people. You can help protect yourself by:Washing your hands frequently with an alcohol-based hand rub or soap and water.Keeping space between yourself and others and avoiding crowded spaces. Wear a non-medical, fabric  mask where it is not possible to keep sufficient physical distance between yourself and others.Avoiding touching your eyes, nose and mouth.Practicing respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately.If you have fever, cough or difficulty breathing, seek medical care early. Call before going to a health facility, and follow the directions of your local health authority.Pregnant women and women who have recently delivered should attend their routine care appointments, according to local policies and following adapted measures to reduce possible transmission of the virus."
Should pregnant women be tested for COVID-19?,"Testing protocols and eligibility during pregnancy vary depending on where you live.However, WHO recommendations are that pregnant women with symptoms of COVID-19 should be prioritized for testing. If they have COVID-19, they may need specialized care."
Can COVID-19 be passed from a woman to her unborn or newborn baby?,"We still do not know if a pregnant woman with COVID-19 can pass the virus to her fetus or baby during pregnancy or delivery. To date, the active virus has not been found in samples of fluid around the baby in the womb or breastmilk."
